count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7717,E,2019,3/25/2019,15,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,80,28,163,25,80,4,1,1,0,0,0,6,302
7717,E,2019,3/25/2019,12,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,39,27,180,25,119,8,0,0,0,0,0,8,359
7717,E,2019,3/25/2019,16,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,95,33,198,23,91,4,1,1,0,0,0,6,351
7717,W,2019,3/25/2019,15,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,71,37,206,23,72,2,0,0,0,0,0,2,340
7717,W,2019,3/25/2019,16,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,62,47,186,23,49,2,0,0,0,0,0,2,307
7717,E,2019,3/25/2019,10,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,41,23,103,21,108,14,0,0,0,0,0,14,269
7717,E,2019,3/25/2019,13,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,64,40,164,19,85,9,1,1,0,1,0,12,320
7717,E,2019,3/25/2019,18,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,513,30,206,23,35,1,1,0,0,0,0,2,296
7717,E,2019,3/25/2019,8,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,162,26,122,24,86,12,2,0,0,0,0,14,272
7717,E,2019,3/25/2019,14,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,80,39,157,24,105,5,2,1,0,1,0,9,334
