local_authority_name,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/15/2020,-5,-9,-12,-11,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/16/2020,-1,-21,-23,-13,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/17/2020,-3,-2,4,-1,-4,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/18/2020,-2,-2,-1,-2,-2,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/19/2020,-7,-4,5,0,-4,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/20/2020,-7,-7,-11,-3,-3,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/21/2020,-3,-2,5,-3,-4,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/22/2020,4,5,11,-3,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/23/2020,8,1,-4,-13,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/24/2020,-7,-12,-13,-1,2,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/25/2020,-1,1,-5,-1,3,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/26/2020,0,-3,1,-3,6,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/27/2020,0,-4,-9,-1,4,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/28/2020,-2,-6,-12,0,0,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2/29/2020,11,3,0,-4,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/1/2020,22,14,9,10,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/2/2020,-2,0,-25,-4,4,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/3/2020,-5,-1,-11,-7,3,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/4/2020,-6,-5,-7,-5,4,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/5/2020,-14,-17,-25,-2,1,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/6/2020,-4,2,5,-5,3,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/7/2020,2,4,12,-8,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/8/2020,2,-4,-4,-17,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/9/2020,-10,-5,-8,-8,-6,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/10/2020,-14,-5,-17,-10,-2,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/11/2020,-17,-8,-10,-15,-5,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/12/2020,-22,-11,-23,-20,-15,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/13/2020,-29,-15,-30,-27,-23,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/14/2020,-26,-15,-27,-28,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/15/2020,-32,-24,-35,-38,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/16/2020,-40,-20,-42,-40,-38,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/17/2020,-62,-40,-60,-56,-54,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/18/2020,-73,-46,-65,-66,-62,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/19/2020,-78,-47,-74,-70,-63,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/20/2020,-82,-54,-77,-73,-64,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/21/2020,-86,-53,-86,-78,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/22/2020,-85,-67,-86,-81,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/23/2020,-87,-70,-82,-79,-76,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/24/2020,-94,-79,-88,-87,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/25/2020,-95,-82,-88,-90,-85,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/26/2020,-96,-83,-91,-92,-85,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/27/2020,-96,-83,-91,-92,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/28/2020,-95,-74,-93,-92,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/29/2020,-95,-80,-93,-91,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/30/2020,-95,-84,-90,-93,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,3/31/2020,-96,-84,-92,-93,-85,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/1/2020,-96,-85,-92,-93,-85,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/2/2020,-97,-85,-93,-93,-86,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/3/2020,-97,-84,-92,-93,-83,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/4/2020,-95,-74,-91,-92,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/5/2020,-93,-75,-87,-90,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/6/2020,-96,-85,-92,-93,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/7/2020,-97,-84,-90,-93,-87,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/8/2020,-97,-84,-90,-93,-87,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/9/2020,-97,-82,-90,-93,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/10/2020,-98,-88,-93,-96,-89,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/11/2020,-95,-72,-89,-92,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/12/2020,-97,-82,-88,-91,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/13/2020,-99,-91,-96,-97,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/14/2020,-97,-83,-91,-93,-83,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/15/2020,-97,-83,-91,-93,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/16/2020,-97,-84,-93,-93,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/17/2020,-97,-83,-93,-93,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/18/2020,-96,-74,-93,-92,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/19/2020,-95,-72,-87,-90,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/20/2020,-96,-84,-91,-92,-81,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/21/2020,-97,-84,-90,-93,-83,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/22/2020,-97,-83,-90,-93,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/23/2020,-97,-84,-91,-93,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/24/2020,-97,-82,-90,-92,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/25/2020,-95,-71,-88,-90,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/26/2020,-95,-72,-82,-88,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/27/2020,-96,-83,-91,-92,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/28/2020,-97,-87,-93,-92,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/29/2020,-97,-83,-91,-92,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,4/30/2020,-98,-85,-92,-92,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/1/2020,-97,-82,-89,-91,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/2/2020,-95,-71,-84,-89,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/3/2020,-97,-75,-87,-89,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/4/2020,-97,-83,-88,-91,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/5/2020,-97,-84,-88,-91,-84,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/6/2020,-97,-82,-87,-91,-81,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/7/2020,-97,-82,-87,-91,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/8/2020,-98,-87,-84,-94,-83,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/9/2020,-95,-71,-73,-88,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/10/2020,-97,-78,-85,-88,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/11/2020,-97,-84,-89,-90,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/12/2020,-97,-83,-87,-91,-81,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/13/2020,-97,-83,-89,-91,-79,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/14/2020,-97,-83,-87,-91,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/15/2020,-97,-80,-82,-90,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/16/2020,-95,-71,-76,-87,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/17/2020,-93,-71,-65,-84,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/18/2020,-96,-82,-83,-89,-79,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/19/2020,-97,-80,-82,-89,-82,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/20/2020,-97,-81,-78,-89,-77,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/21/2020,-97,-80,-82,-89,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/22/2020,-97,-79,-81,-88,-77,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/23/2020,-95,-70,-78,-82,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/24/2020,-94,-71,-66,-79,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/25/2020,-97,-86,-72,-91,-85,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/26/2020,-96,-80,-80,-88,-80,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/27/2020,-96,-81,-79,-88,-77,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/28/2020,-96,-79,-81,-88,-78,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/29/2020,-96,-77,-77,-87,-76,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/30/2020,-94,-66,-63,-81,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,5/31/2020,-92,-70,-60,-80,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/1/2020,-95,-80,-78,-87,-79,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/2/2020,-96,-79,-78,-87,-78,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/3/2020,-96,-81,-84,-87,-81,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/4/2020,-97,-80,-85,-88,-76,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/5/2020,-96,-78,-78,-86,-77,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/6/2020,-95,-72,-82,-82,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/7/2020,-93,-70,-68,-80,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/8/2020,-95,-79,-78,-86,-75,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/9/2020,-95,-78,-76,-86,-75,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/10/2020,-96,-80,-83,-87,-77,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/11/2020,-96,-79,-81,-87,-76,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/12/2020,-96,-78,-80,-85,-72,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/13/2020,-93,-61,-58,-74,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/14/2020,-92,-68,-56,-78,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/15/2020,-93,-76,-76,-84,-74,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/16/2020,-94,-75,-76,-85,-75,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/17/2020,-94,-77,-79,-85,-75,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/18/2020,-95,-76,-82,-86,-77,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/19/2020,-94,-71,-78,-83,-71,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/20/2020,-90,-50,-63,-73,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/21/2020,-90,-57,-66,-76,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/22/2020,-93,-74,-70,-83,-76,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/23/2020,-94,-74,-70,-84,-76,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/24/2020,-94,-72,-70,-83,-73,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/25/2020,-94,-73,-73,-82,-75,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/26/2020,-94,-71,-72,-81,-74,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/27/2020,-92,-57,-77,-76,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/28/2020,-90,-52,-64,-73,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/29/2020,-93,-74,-74,-82,-74,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,6/30/2020,-93,-76,-78,-83,-74,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/1/2020,-92,-75,-74,-82,-71,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/2/2020,-93,-75,-78,-83,-74,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/3/2020,-92,-71,-69,-80,-72,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/4/2020,-85,-54,-69,-68,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/5/2020,-84,-52,-56,-66,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/6/2020,-89,-74,-70,-80,-72,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/7/2020,-90,-75,-72,-81,-74,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/8/2020,-91,-75,-75,-81,-71,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/9/2020,-91,-74,-74,-80,-71,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/10/2020,-90,-70,-66,-77,-69,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/11/2020,-84,-51,-49,-64,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/12/2020,-83,-49,-43,-63,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/13/2020,-89,-74,-60,-79,-68,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/14/2020,-89,-73,-65,-80,-72,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/15/2020,-88,-73,-64,-79,-69,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/16/2020,-88,-73,-67,-80,-69,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/17/2020,-88,-69,-58,-77,-68,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/18/2020,-80,-49,-44,-62,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/19/2020,-81,-53,-54,-65,,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/20/2020,-87,-72,-59,-79,-68,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/21/2020,-87,-71,-60,-78,-68,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/22/2020,-87,-70,-57,-78,-67,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/23/2020,-88,-71,-61,-79,-67,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/24/2020,-87,-69,-55,-76,-68,
City of London,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,7/25/2020,-79,-53,-58,-61,,
